name,organization,parameters,release_date,family,macro-family
claude-3-5-haiku-20241022-FC,Anthropic,unknown,558,Claude 3.5 Haiku,Haiku
claude-3-5-sonnet-20240620,Anthropic,unknown,682,Claude 3.5 Sonnet,Sonnet
claude-3-5-sonnet-20241022,Anthropic,unknown,558,Claude 3.5 Sonnet,Sonnet
claude-3-5-sonnet-20241022-FC,Anthropic,unknown,558,Claude 3.5 Sonnet,Sonnet
claude-3-7-sonnet-20250219,Anthropic,unknown,438,Claude 3.7 Sonnet,Sonnet
Claude-3-Haiku,Anthropic,unknown,787,Claude 3 Haiku,Haiku
claude-3-haiku-20240307,Anthropic,unknown,787,Claude 3 Haiku,Haiku
claude-3-opus-20240229,Anthropic,unknown,794,Claude 3 Opus,Opus
claude-3-opus-20240229-FC,Anthropic,unknown,794,Claude 3 Opus,Opus
claude-3-sonnet-20240229,Anthropic,unknown,794,Claude 3 Sonnet,Sonnet
claude-3-sonnet-20240229 (repeat_user_prompt),Anthropic,unknown,794,Claude 3 Sonnet,Sonnet
claude-3.5-sonnet,Anthropic,unknown,682,Claude 3.5 Sonnet,Sonnet
Claude-3.5-Sonnet,Anthropic,unknown,682,Claude 3.5 Sonnet,Sonnet
Claude-3.5-Sonnet-20240620,Anthropic,unknown,682,Claude 3.5 Sonnet,Sonnet
Claude-3.5-Sonnet-20241022,Anthropic,unknown,558,Claude 3.5 Sonnet,Sonnet
Claude-3.7-Sonnet,Anthropic,unknown,433,Claude 3.7 Sonnet,Sonnet
claude-3.7-sonnet,Anthropic,unknown,433,Claude 3.7 Sonnet,Sonnet
Claude-3.7-Sonnet (Think),Anthropic,unknown,433,Claude 3.7 Sonnet,Sonnet
claude-instant-v1,Anthropic,unknown,1146,Claude Instant v1,Instant
Claude-Opus-4,Anthropic,unknown,346,Claude Opus 4,Opus
Claude-Opus-4 (Thinking),Anthropic,unknown,346,Claude Opus 4,Opus
Claude-Opus-4.0 (Think),Anthropic,unknown,346,Claude Opus 4,Opus
Claude-Opus-4.5,Anthropic,unknown,160,Claude Opus 4.5,Opus
Claude-Opus-4.6 (High),Anthropic,unknown,87,Claude Opus 4.6,Opus
Claude-Sonnet-4,Anthropic,unknown,346,Claude Sonnet 4,Sonnet
claude-sonnet-4,Anthropic,unknown,346,Claude Sonnet 4,Sonnet
Claude-Sonnet-4 (Thinking),Anthropic,unknown,346,Claude Sonnet 4,Sonnet
Claude-Sonnet-4.5,Anthropic,unknown,215,Claude Sonnet 4.5,Sonnet
claude-sonnet-4.5,Anthropic,unknown,215,Claude Sonnet 4.5,Sonnet
Claude-Sonnet-4.5 (Think),Anthropic,unknown,215,Claude Sonnet 4.5,Sonnet
claude-v1,Anthropic,unknown,1146,Claude 1,Claude 1
Claude3-5V_Sonnet,Anthropic,unknown,682,Claude 3.5 Sonnet,Sonnet
Claude3-5V_Sonnet_20241022,Anthropic,unknown,558,Claude 3.5 Sonnet,Sonnet
Claude3-7V_Sonnet,Anthropic,unknown,433,Claude 3.7 Sonnet,Sonnet
Claude3V_Haiku,Anthropic,unknown,787,Claude 3 Haiku,Haiku
Claude3V_Opus,Anthropic,unknown,790,Claude 3 Opus,Opus
Claude3V_Sonnet,Anthropic,unknown,790,Claude 3 Sonnet,Sonnet
CloudWalk,CloudWalk Technology,unknown,unknown,CloudWalk,CloudWalk
Codestral-Latest,Mistral AI,unknown,704,Codestral,Codestral
cogvlm-chat,Zhipu AI,17,949,CogVLM,CogVLM
cogvlm2-llama3-chat-19B,Zhipu AI,19,690,CogVLM2,CogVLM2
command-r,Cohere,35,792,Command-R,Command-R
command-r-plus,Cohere,104,759,Command-R+,Command-R
command-r-plus-FC,Cohere,104,759,Command-R+,Command-R
command-r7b-12-2024-FC,Cohere,7,517,Command-R 7B,Command-R
ContextualAI/archangel_sft-dpo_llama13b,ContextualAI,13,unknown,Archangel LLaMA 13B,Archangel
ContextualAI/archangel_sft-dpo_llama30b,ContextualAI,30,unknown,Archangel LLaMA 30B,Archangel
ContextualAI/archangel_sft-dpo_llama7b,ContextualAI,7,unknown,Archangel LLaMA 7B,Archangel
ContextualAI/archangel_sft-dpo_pythia1-4b,ContextualAI,1.4,unknown,Archangel Pythia 1.4B,Archangel
ContextualAI/archangel_sft-dpo_pythia12-0b,ContextualAI,12,unknown,Archangel Pythia 12B,Archangel
ContextualAI/archangel_sft-dpo_pythia2-8b,ContextualAI,2.8,unknown,Archangel Pythia 2.8B,Archangel
ContextualAI/archangel_sft-dpo_pythia6-9b,ContextualAI,6.9,unknown,Archangel Pythia 6.9B,Archangel
ContextualAI/archangel_sft-kto_llama13b,ContextualAI,13,unknown,Archangel LLaMA 13B,Archangel
ContextualAI/archangel_sft-kto_llama30b,ContextualAI,30,unknown,Archangel LLaMA 30B,Archangel
ContextualAI/archangel_sft-kto_llama7b,ContextualAI,7,unknown,Archangel LLaMA 7B,Archangel
ContextualAI/archangel_sft-kto_pythia1-4b,ContextualAI,1.4,unknown,Archangel Pythia 1.4B,Archangel
ContextualAI/archangel_sft-kto_pythia12-0b,ContextualAI,12,unknown,Archangel Pythia 12B,Archangel
ContextualAI/archangel_sft-kto_pythia2-8b,ContextualAI,2.8,unknown,Archangel Pythia 2.8B,Archangel
ContextualAI/archangel_sft-kto_pythia6-9b,ContextualAI,6.9,unknown,Archangel Pythia 6.9B,Archangel
databricks-dbrx-instruct,Databricks,132,767,DBRX Instruct,DBRX
DeepCoder-14B-Preview,Agentica,14,unknown,DeepCoder 14B,DeepCoder
deepseek,DeepSeek,unknown,unknown,DeepSeek,DeepSeek
deepseek-ai_DeepSeek-Coder-V2-Instruct-0724,DeepSeek,236,648,DeepSeek Coder V2,DeepSeek Coder
deepseek-ai_DeepSeek-Coder-V2-Lite-Instruct,DeepSeek,16,725,DeepSeek Coder V2 Lite,DeepSeek Coder
deepseek-chat-v2_5,DeepSeek,236,591,DeepSeek V2.5,DeepSeek V2
DeepSeek-Coder-V2,DeepSeek,236,725,DeepSeek Coder V2,DeepSeek Coder
deepseek-coder-v2,DeepSeek,236,725,DeepSeek Coder V2,DeepSeek Coder
DeepSeek-R1,DeepSeek,671,468,DeepSeek R1,DeepSeek R1
deepseek-r1,DeepSeek,671,468,DeepSeek R1,DeepSeek R1
DeepSeek-R1-0528,DeepSeek,671,340,DeepSeek R1 0528,DeepSeek R1
deepseek-r1-0528,DeepSeek,671,340,DeepSeek R1 0528,DeepSeek R1
DeepSeek-R1-Distill-1.5B,DeepSeek,1.5,468,DeepSeek R1 Distill,DeepSeek R1 Distill
DeepSeek-R1-Distill-14B,DeepSeek,14,468,DeepSeek R1 Distill,DeepSeek R1 Distill
DeepSeek-R1-Distill-32B,DeepSeek,32,468,DeepSeek R1 Distill,DeepSeek R1 Distill
DeepSeek-R1-Distill-70B,DeepSeek,70,468,DeepSeek R1 Distill,DeepSeek R1 Distill
DeepSeek-R1-Lite-Preview,DeepSeek,unknown,529,DeepSeek R1 Preview,DeepSeek R1
DeepSeek-R1-Preview,DeepSeek,unknown,529,DeepSeek R1 Preview,DeepSeek R1
DeepSeek-V3,DeepSeek,671,493,DeepSeek V3,DeepSeek V3
deepseek-v3,DeepSeek,671,493,DeepSeek V3,DeepSeek V3
DeepSeek-V3-03-24,DeepSeek,671,404,DeepSeek V3 03-24,DeepSeek V3
DeepSeek-v3.1 (Think),DeepSeek,671,255,DeepSeek V3.1,DeepSeek V3
DeepSeek-v3.2 (Think),DeepSeek,671,153,DeepSeek V3.2,DeepSeek V3
DeepSeek-v3.2-Exp (Think),DeepSeek,671,216,DeepSeek V3.2 Exp,DeepSeek V3
DeepSeek-V3.2-Exp-Thinking,DeepSeek,671,216,DeepSeek V3.2 Exp,DeepSeek V3
DeepSeek-v3.2-Speciale,DeepSeek,671,153,DeepSeek V3.2 Speciale,DeepSeek V3
DeepSeek-v3.2-Speciale Agent,DeepSeek,671,153,DeepSeek V3.2 Speciale,DeepSeek V3
DeepSeek-V3.2-Thinking,DeepSeek,671,153,DeepSeek V3.2,DeepSeek V3
deepseek_vl2,DeepSeek,4.5,529,DeepSeek VL2,DeepSeek VL2
deepseek_vl2_small,DeepSeek,2.4,529,DeepSeek VL2 Small,DeepSeek VL2
deepseek_vl2_tiny,DeepSeek,1.0,529,DeepSeek VL2 Tiny,DeepSeek VL2
deepseek_vl_1.3b,DeepSeek,1.3,790,DeepSeek VL 1.3B,DeepSeek VL
deepseek_vl_7b,DeepSeek,7,790,DeepSeek VL 7B,DeepSeek VL
dolly-v2-12b,Databricks,12,1116,Dolly v2 12B,Dolly
DoubaoVL,ByteDance,unknown,unknown,DoubaoVL,Doubao
DroidRun,unknown,unknown,unknown,unknown,unknown
DSCoder-1.3b-Ins,DeepSeek,1.3,unknown,DeepSeek Coder 1.3B,DeepSeek Coder
DSCoder-33b-Ins,DeepSeek,33,unknown,DeepSeek Coder 33B,DeepSeek Coder
DSCoder-6.7b-Ins,DeepSeek,6.7,unknown,DeepSeek Coder 6.7B,DeepSeek Coder
Eagle-X5-13B,unknown,13,unknown,Eagle X5 13B,Eagle X5
Eagle-X5-34B-Chat,unknown,34,unknown,Eagle X5 34B,Eagle X5
Eagle-X5-7B,unknown,7,unknown,Eagle X5 7B,Eagle X5
emu2_chat,BAAI,37,808,Emu2,Emu
emu3_chat,BAAI,8,720,Emu3,Emu
EXAONE-4.0-32B,LG AI Research,32,unknown,EXAONE 4.0 32B,EXAONE
falcon-40b-instruct,TII,40,1073,Falcon 40B,Falcon
Falcon2-VLM-11B,TII,11,unknown,Falcon 2 VLM 11B,Falcon 2
fastchat-t5-3b,LMSYS,3,1073,FastChat T5 3B,FastChat
FinalRun,unknown,unknown,unknown,unknown,unknown
firefunction-v1-FC,Fireworks AI,unknown,unknown,Firefunction v1,Firefunction
firefunction-v2-FC,Fireworks AI,unknown,unknown,Firefunction v2,Firefunction
flamingov2,DeepMind,unknown,949,Flamingo v2,Flamingo
flash,Google,unknown,unknown,Gemini Flash,Gemini Flash
Gemini 1.5 Pro,Google,unknown,808,Gemini 1.5 Pro,Gemini 1.5
Gemini 2.5 Flash (Thinking),Google,unknown,381,Gemini 2.5 Flash,Gemini 2.5
Gemini 2.5 Pro,Google,unknown,404,Gemini 2.5 Pro,Gemini 2.5
Gemini 2.5 Pro (05-06),Google,unknown,362,Gemini 2.5 Pro,Gemini 2.5
Gemini 2.5 Pro (agent),Google,unknown,404,Gemini 2.5 Pro,Gemini 2.5
Gemini 2.5 Pro (best-of-32),Google,unknown,404,Gemini 2.5 Pro,Gemini 2.5
Gemini 3 Flash,Google,unknown,137,Gemini 3 Flash,Gemini 3
Gemini 3 Pro (preview),Google,unknown,166,Gemini 3 Pro,Gemini 3
Gemini 3.1 Pro Preview,Google,unknown,73,Gemini 3.1 Pro,Gemini 3
Gemini 3.1 Pro Preview (low),Google,unknown,73,Gemini 3.1 Pro,Gemini 3
Gemini 3.1 Pro Preview (medium),Google,unknown,73,Gemini 3.1 Pro,Gemini 3
Gemini Deep Think 3 (12/25),Google,unknown,137,Gemini 3,Gemini 3
Gemini IMO Deep Think,Google,unknown,296,Gemini IMO,Gemini 3
gemini-1.0-pro-002,Google,unknown,872,Gemini 1.0 Pro,Gemini 1.0
gemini-1.0-pro-002-FC,Google,unknown,872,Gemini 1.0 Pro,Gemini 1.0
gemini-1.5-flash-001,Google,unknown,719,Gemini 1.5 Flash,Gemini 1.5
gemini-1.5-flash-001-FC,Google,unknown,719,Gemini 1.5 Flash,Gemini 1.5
gemini-1.5-flash-002,Google,unknown,586,Gemini 1.5 Flash,Gemini 1.5
gemini-1.5-flash-002-FC,Google,unknown,586,Gemini 1.5 Flash,Gemini 1.5
gemini-1.5-pro-001,Google,unknown,719,Gemini 1.5 Pro,Gemini 1.5
gemini-1.5-pro-001-FC,Google,unknown,719,Gemini 1.5 Pro,Gemini 1.5
gemini-1.5-pro-002,Google,unknown,586,Gemini 1.5 Pro,Gemini 1.5
gemini-1.5-pro-002-FC,Google,unknown,586,Gemini 1.5 Pro,Gemini 1.5
gemini-2.0-flash,Google,unknown,452,Gemini 2.0 Flash,Gemini 2.0
gemini-2.0-flash-001,Google,unknown,452,Gemini 2.0 Flash,Gemini 2.0
gemini-2.0-flash-exp,Google,unknown,507,Gemini 2.0 Flash Exp,Gemini 2.0
gemini-2.0-flash-exp-FC,Google,unknown,507,Gemini 2.0 Flash Exp,Gemini 2.0
gemini-2.0-flash-thinking,Google,unknown,467,Gemini 2.0 Flash Thinking,Gemini 2.0
gemini-2.0-pro,Google,unknown,452,Gemini 2.0 Pro,Gemini 2.0
